Informazioni cronologiche,Genere ,Età,Grado di istruzione ,Quanto tempo trascorri in media giocando ai videogiochi ogni giorno?,Quale stile di videogioco preferisci di più?,"Se hai premuto ""Altro"" rispondi qui ",Credi che i videogiochi siano una forma d'arte?,"Se hai premuto ""Dipende"" puoi specificare qui",C’è un videogioco che ti ha insegnato qualcosa di utile per la tua formazione scolastica e professionale?”  ,Se hai premuto “Sì” scrivi quale videogioco ti è stato più utile ,"
Qual è il dispositivo che preferisci utilizzare per giocare?","Se hai premuto ""Altro"" rispondi qui ","
Quali videogiochi ritieni ti abbiano arricchito culturalmente riguardo alla mitologia o alla storia?","Se hai premuto ""Altro"" rispondi qui ",Pensi che sia possibile utilizzare i videogiochi che non sono stati concepiti per scopi didattici come strumenti formativi?,"Se hai premuto ""Dipende"" puoi specificare qui","
Credi che i videogiochi online possano facilitare la connessione tra le persone e offrire un'alternativa alla socialità tradizionale?","Sei hai premuto ""Dipende"" puoi specificare qui ",Hai mai pensato di creare un gioco?,"Pensi che un videogioco ti abbia ispirato ad approfondire conoscenze su un argomento ( per esempio letterario, culturale, storico, sociale, scientifico, artistico, o ecc.) ?","Hai mai imparato un'altra lingua o migliorato le tue competenze linguistiche grazie ai videogiochi, sia online che in modalità single player?",Sei hai premuto Altro specifica qui,"Secondo te, è possibile paragonare l'importanza narrativa di un videogioco a quella di media più tradizionali come libri, film o prodotti di animazione?  ",Credi che i videogiochi ti abbiano insegnato a risolvere problemi in modo creativo e originale (problem solving)?,Pratichi attività fisica ?,"Pensi che gli Esport (Sport elettronici) possano essere considerati una pratica professionale (ad esempio, league of legends, counter-strike, street fighter,  StarCraft,  Assetto corsa) ?","Hai migliorato le tue abilità sociali grazie ai videogiochi? (ad esempio comunicazione, espressione, empatia ecc.)",Frequenti amici che non usano videogiochi o preferisci la compagnia di chi condivide come te questa passione?
28/02/2024 19.54.15,Donna,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,No,,Console,,Nessuno,,Si,,No,,No,No,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si ogni settimana,No,Si,Non ho preferenze
28/02/2024 19.56.07,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"Console, PC",,Nessuno,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 19.57.02,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,No,,"Console, PC, Smartphone /Tablet",,Immortals fenyx rising,,Si,,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
28/02/2024 19.59.17,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Si,Qualsiasi videogioco storico o in inglese ,Console,,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 20.00.55,Uomo,Millennials (1981-1996),Diploma o licenza superiore,7>,Single player,,Si,,Non saprei,,PC,,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 20.01.14,Donna,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Non saprei,,"Console, PC",,"Assassin's creed (saga), God of war (saga norrena)",,Si,,Dipende (specifica),Purché si tenga un atteggiamento rispettoso e disposto ad ascoltare pareri contrari,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 20.01.49,Donna,Generazione X (1965-1980),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,"Allora: non formazione scolastica o professionale, ma comunque che mi ha portato qualcosa a livello di conoscenza ","Console, VR",,Altro (specifica),Pentiment,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Preferisco la compagnia di chi videogioca
28/02/2024 20.02.19,Donna,Generazione X (1965-1980),Laurea o superiore,Meno di un’ora,Single player,,Si,,Si,"tutti in generale, aiutano in tante cose (oltre all'aspetto ludico) ",VR,,Nessuno,,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
28/02/2024 20.02.31,Donna,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Non saprei,,PC,,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 20.04.21,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Entrambi,,Si,,Si,Gothic con l'inglese,"Console, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), Age of Empire",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 20.04.59,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Single player,,Si,,Non saprei,,"Console, PC",,Assassin's creed (saga),,Dipende (Specifica),Dipende ovviamente in che modo e che età hanno le persone che vengono istruite in questo modo. Sicuramente ritengo che tutti i giochi sopra indicati siano più utili come stimoli ad approfondire l'argomento che vere e proprie fonti a cui attingere per la conoscenza,Dipende (specifica),"Tra adulti sì, tra ragazzi sicuramente c'è bisogno di qualcuno che supervisioni anche se in minima parte le comunicazioni",L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Preferisco la compagnia di chi videogioca
28/02/2024 20.05.58,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,No,,Console,,God of War (saga Greca),,Si,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
28/02/2024 20.07.51,Altro,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Single player,,Si,,Si,Minecraft,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades, Age of Empire, Sid Meier's Civilization, Ryse son of rome, Immortals fenyx rising, Altro (specifica)",Metro 2033,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Preferisco la compagnia di chi non videogioca
28/02/2024 20.09.32,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,Ho imparato l'inglese con i videogiochi da bambino. Pochi erano in italiano.,"Console, Console portatili, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,No,Si,Non ho preferenze
28/02/2024 20.10.25,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,Gta san Andreas per imparare inglese ,Console,,"God of War (saga Greca), God of war (saga norrena), Sid Meier's Civilization",,No,,Dipende (specifica),"Se giocato con criterio, non sostituirà mai un interazione sociale ",Si,Si,Si ho imparato un'altra lingua,,Si,No,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 20.11.31,Uomo,Millennials (1981-1996),licenza media,4-6 ore,Entrambi,,Si,,Si,"Ho imparato l'inglese , per esempio.","Console, PC",,Altro (specifica),"Altri titoli mi hanno insegnato cose anche su altre epoche, nn ho giocato a praticamente nessuno dei giochi in lista sopra.",Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,No,No,Non ho preferenze
28/02/2024 20.13.59,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,No,,Console,,Nessuno,,No,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Meno di una volta a settimana,No,Si,Non ho preferenze
28/02/2024 20.14.11,Donna,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,"Console, PC, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire",,Si,,Dipende (specifica),Dipende dal videogioco e dall'educazione delle persone,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 20.14.46,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Multiplayer Online,,Si,,Non saprei,,PC,,Nessuno,,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 20.15.23,Altro,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"Console, PC, VR",,"Altro (specifica), Nessuno",ahimè non è un tipo di ambientazione che amo!,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
28/02/2024 20.16.29,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,No,,"Console, Console portatili, PC, VR",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Age of Empire, Ryse son of rome",,Si,,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,No,Non ho preferenze
28/02/2024 20.16.58,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Non saprei,,"Console, Cloud, PC",,"Assassin's creed (saga), Age of Empire",,Si,,Mi astengo dal giudizio,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
28/02/2024 20.18.58,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,,Console,,"Assassin's creed (saga), Ryse son of rome, Immortals fenyx rising",,Si,,Dipende (specifica),"Facilitare la connessione si, ma non offrirà un alternativa alla socialità tradizionale. ",Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Preferisco la compagnia di chi non videogioca
28/02/2024 20.22.40,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,Si,Infinifactory,PC,,Age of Empire,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 20.23.54,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,PC,,Assassin's creed (saga),,Si,,Si,,Si,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
28/02/2024 20.25.45,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Si,,Console,,Assassin's creed (saga),,No,,Mi astengo dal giudizio,,Si,Si,No non ho imparato un altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Non ho preferenze
28/02/2024 20.26.05,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,Assassin's creed diverse versioni,"Console, PC",,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Mai o quasi mai,Si,No,Non ho preferenze
28/02/2024 20.28.55,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,Si,Final fantasy 7,PC,,Sid Meier's Civilization,,Si,,No,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Mai o quasi mai,No,Si,Non ho preferenze
28/02/2024 20.28.55,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
28/02/2024 20.30.53,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,"Assassin's creed , ghost of tsushima ecc",Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Altro (specifica)",ghost of tsushima,Dipende (Specifica),Non sempre tutto rispecchia la realta dei fatti quindi devi avere la curiosità tudi informarti ,Si,,Si,Si,Altro (Specifica),Ho provato ma ho imparato pochetto,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
28/02/2024 20.30.56,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Dipende (specifica),C'è differenza tra arte e arte fatta solo per guadagnare,Si,Assassin's Creed ,"Console, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization",,Dipende (Specifica),,No,,No,No,No non ho imparato un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
28/02/2024 20.32.12,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,No,,"Console, PC",,Nessuno,,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si ogni settimana,Si,No,Preferisco la compagnia di chi videogioca
28/02/2024 20.32.18,Uomo,Millennials (1981-1996),Laurea o superiore,4-6 ore,Entrambi,,Si,,No,,PC,,Nessuno,,Dipende (Specifica),Dipende perché solitamente il videogame è un prodotto legato all'intrattenimento e quindi il discorso didattico passa in secondo piano.,Si,,Si,No,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,No,No,Preferisco la compagnia di chi non videogioca
28/02/2024 20.32.46,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Single player,,Si,,Non saprei,,"Console, PC",,Assassin's creed (saga),,Si,,Dipende (specifica),Una non deve sostituire l’altra ,No,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
28/02/2024 20.32.48,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Entrambi,,Si,,No,,Console,,"Assassin's creed (saga), Age of Empire, Altro (specifica)",Red dead redemption,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 20.33.57,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"Console, Console portatili, PC, Smartphone /Tablet",,Nessuno,,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 20.34.24,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,Negli ultimi tempi dico Xenoblade Chronicles 3 per il concetto dei rapporti con il prossimo e l'attaccamento alla vita e alla speranza di un futuro migliore.,Console,,"Assassin's creed (saga), Immortals fenyx rising",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 20.34.46,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Entrambi,,No,,Si,The sims,"Console, PC, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,No,Non ho preferenze
28/02/2024 20.36.39,Donna,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Si,Assassin's Creed,Console,,"Assassin's creed (saga), God of War (saga Greca)",,No,,No,,No,Si,Altro (Specifica),Già in possesso della licenza linguistica per gli studi conseguiti ,Si,No,Si ogni settimana,Si,No,Non ho preferenze
28/02/2024 20.36.39,Uomo,Millennials (1981-1996),Laurea o superiore,4-6 ore,Multiplayer Online,,Si,,Si,League of Legends ,PC,,Age of Empire,,Si,,Si,,L'ho fatto,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 20.38.56,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Multiplayer Online,,Si,,No,,Smartphone /Tablet,,Nessuno,,No,,Si,,Si,No,No non ho imparato un altra lingua,,No,No,Meno di una volta a settimana,No,No,Non ho preferenze
28/02/2024 20.39.35,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,GTA V,"Console, PC",,"God of war (saga norrena), Immortals fenyx rising",,Si,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,No,No,Preferisco la compagnia di chi videogioca
28/02/2024 20.40.00,Donna,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Entrambi,,Si,,Si,Il genere delle avvebture grafiche mi ha aiutata a risolvere situazioni ,PC,,"Assassin's creed (saga), Sid Meier's Civilization",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 20.41.49,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,"Console, Console portatili",,"God of war (saga norrena), Age of Empire",,Si e li utilizzo,,Mi astengo dal giudizio,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,No,Si,Non ho preferenze
28/02/2024 20.42.49,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,Si,Molti giochi strategici aiutano a sviluppare un metodo di ragionamento analitico,"Console portatili, PC",,Nessuno,,Si,,Dipende (specifica),"Rappresentano una socialità differente, non alternativa perché offre esperienze sociali diverse.",Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Preferisco la compagnia di chi videogioca
28/02/2024 20.43.08,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,Console,,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,Si,Preferisco la compagnia di chi videogioca
28/02/2024 20.43.16,Uomo,Generazione X (1965-1980),Laurea o superiore,Meno di un’ora,Single player,,Dipende (specifica),Alcuni videogiochi esprimono arte e creatività,No,,VR,,Nessuno,,Dipende (Specifica),Alcuni videogiochi hanno una grande cura per gli argomenti trattati e quindi potrebbero essere usati a scopo formativo,Dipende (specifica),Si ma la socialità online non può sostituire completamente quella tradizionale,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,No,Non ho preferenze
28/02/2024 20.44.13,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"Console, Cloud, Console portatili, PC, Smartphone /Tablet",,"God of War (saga Greca), God of war (saga norrena), Hades, Age of Empire, Ryse son of rome, Immortals fenyx rising",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
28/02/2024 20.48.20,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Non saprei,,Console,,"Assassin's creed (saga), God of war (saga norrena), Immortals fenyx rising",,Si,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,No,Si,Non ho preferenze
